Nombre,Artista,Enlace del video-web,Nombre en la carpeta del drive,Anime,Imagen Web,Nombre imagen drive,Temporada,Año,Enlace Drive
Sweet Magic,F/ACE,https://v.animethemes.moe/TamonKunImaDocchi-OP1.webm,TamonKunImaDocchi-OP1.webm,Tamon-kun Ima Docchi!?,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/vuad2muPvrYytel4MqjSbhd75I9CYC3h6GukOCqv.jpg,vuad2muPvrYytel4MqjSbhd75I9CYC3h6GukOCqv.jpg,Winter,2026,https://drive.google.com/file/d/1cmJDpV-EvyueCW2eVtP3eNP8CNT-mFmu/view?usp=drivesdk
Shirube,Towa Tokoyami,https://v.animethemes.moe/YuushaPartyWoOidasaretaKiyouBinbou-OP1.webm,YuushaPartyWoOidasaretaKiyouBinbou-OP1.webm,Yuusha Party wo Oidasareta Kiyou Binbou,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/q1KAtpnMHImycpkLZpB9I6N64qrWDlU6VE6Cnhvi.jpg,q1KAtpnMHImycpkLZpB9I6N64qrWDlU6VE6Cnhvi.jpg,Winter,2026,https://drive.google.com/file/d/1pvtFT8m3oNq9qMdm48AGHAW3tykf7FZl/view?usp=drivesdk
PROVANT,"SawanoHiroyuki[nZk], Jean-Ken Johnny, TAKUMA",https://v.animethemes.moe/FateStrangeFake-OP1.webm,FateStrangeFake-OP1.webm,Fate/strange Fake,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/i7gidroOokt2g6WSQPCB1KuqYyuhR4lklXXbAOEo.png,i7gidroOokt2g6WSQPCB1KuqYyuhR4lklXXbAOEo.png,Winter,2026,https://drive.google.com/file/d/1u-ncMyXTkiYsnbFxsgl4LmhNF8QowI3d/view?usp=drivesdk
GO GO PARADISE!!,GRANRODEO,https://v.animethemes.moe/GoumonBaitoKun-OP1.webm,GoumonBaitoKun-OP1.webm,Goumon Baito-kun no Nichijou,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/LzPI2hLLuDiwXYMbjRivDN64vgXAODWRQPcteDJL.jpg,LzPI2hLLuDiwXYMbjRivDN64vgXAODWRQPcteDJL.jpg,Winter,2026,https://drive.google.com/file/d/1kyPNAPDETAdTKITBgkdhXx8VLHIKY_6R/view?usp=drivesdk
Adrena,YOASOBI,https://v.animethemes.moe/Hanakimi-OP1.webm,Hanakimi-OP1.webm,Hanazakari no Kimitachi e,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/9pRG3SNKXxCMdVSkfpuMGmVMjoFDGyOFv1fvra4p.jpg,9pRG3SNKXxCMdVSkfpuMGmVMjoFDGyOFv1fvra4p.jpg,Winter,2026,https://drive.google.com/file/d/1xQNlD7Z3-yukqdtw68Cnup57WI-6RSZ4/view?usp=drivesdk
Sonare,TOMOO,https://v.animethemes.moe/IkokuNikki-OP1.webm,IkokuNikki-OP1.webm,Ikoku Nikki,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/H8bh5POWFQyVAWPhWf3F3G5wztP42OJw5cTk5M2F.png,H8bh5POWFQyVAWPhWf3F3G5wztP42OJw5cTk5M2F.png,Winter,2026,https://drive.google.com/file/d/104ZOJtBHJpwzup6oZ0_kMEpn6-TUcmQH/view?usp=drivesdk
Kirei.,Yuu.,https://v.animethemes.moe/KireiNiShitemoraemasuKa-OP1.webm,KireiNiShitemoraemasuKa-OP1.webm,Kirei ni Shitemoraemasu ka.,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/Hnj9QuUtkZBcF63ywTiK1IhebEz37RbmZamij7Zb.jpg,Hnj9QuUtkZBcF63ywTiK1IhebEz37RbmZamij7Zb.jpg,Winter,2026,https://drive.google.com/file/d/175zRLTrPCyCP1oFlzmC7Iv1djuihY8N0/view?usp=drivesdk
Break off,SUPER★DRAGON,https://v.animethemes.moe/KizokuTensei-OP1.webm,KizokuTensei-OP1.webm,Kizoku Tensei: Megumareta Umare kara Saikyou no Chikara wo Eru,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/kubwknp0aqt34sdNZjlz1JFU2d65yRwxM5fZ3Mzk.png,kubwknp0aqt34sdNZjlz1JFU2d65yRwxM5fZ3Mzk.png,Winter,2026,https://drive.google.com/file/d/1AuLqsm7sd9S534Ys-nIl2CVE-EVYxjfr/view?usp=drivesdk
Rakenaria no Yume,Isekaijoucho,https://v.animethemes.moe/MajutsushiKunonWaMieteiru-OP1.webm,MajutsushiKunonWaMieteiru-OP1.webm,Majutsushi Kunon wa Mieteiru,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/micrf7Rn7y8hWws1sWEpwvqZAybbhqcEf5OtQpjk.png,micrf7Rn7y8hWws1sWEpwvqZAybbhqcEf5OtQpjk.png,Winter,2026,https://drive.google.com/file/d/1gsMeR0PgU2CAbXMG4ErBd924F9IyL3Z1/view?usp=drivesdk
I Love You ♡,"Yuu Serizawa, HoneyWorks, Sae Hiratsuka, Rin Kusumi, Yuuki Yamamoto",https://v.animethemes.moe/Osalove-OP1.webm,Osalove-OP1.webm,Osananajimi to wa Love Comedy ni Naranai,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/nIaEQ6Ef1qerTyZC6OrmOPfILfcil2rKz8VlsHeR.jpg,nIaEQ6Ef1qerTyZC6OrmOPfILfcil2rKz8VlsHeR.jpg,Winter,2026,https://drive.google.com/file/d/1-u_zwQI4d-W2QHTKdBVAowdq5JOIdFqZ/view?usp=drivesdk
CATCH!!!,Surii,https://v.animethemes.moe/BokuNoHeroAcademiaVigilanteS2-OP1.webm,BokuNoHeroAcademiaVigilanteS2-OP1.webm,Vigilante: Boku no Hero Academia Illegals 2nd Season,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/S9lrzEeAY0j4DRjwTPy8C33t0V7Qfw50O85S4Pnu.jpg,S9lrzEeAY0j4DRjwTPy8C33t0V7Qfw50O85S4Pnu.jpg,Winter,2026,https://drive.google.com/file/d/1vBCmVc4skGEYOXmKyUx8ApbobEm97kZ1/view?usp=drivesdk
TIMELESS POWER feat. MOTSU,"Yuu Serizawa, MOTSU",https://v.animethemes.moe/MFGhostS3-OP1.webm,MFGhostS3-OP1.webm,MF Ghost 3rd Season,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/g0Lq2gWJK9tLXuLKzU0n2G3x8Cie7h88Dxmf2Y75.png,g0Lq2gWJK9tLXuLKzU0n2G3x8Cie7h88Dxmf2Y75.png,Winter,2026,https://drive.google.com/file/d/1NI6eIqyVX7uEDqJEMPskqlG3u6QpLStZ/view?usp=drivesdk
Kimi ga Tomoshite Kureta Hikari wo Ima,"HoneyWorks, Hanon",https://v.animethemes.moe/29SaiDokushinChuukenBoukenshaNoNichijou-OP1.webm,29SaiDokushinChuukenBoukenshaNoNichijou-OP1.webm,29-sai Dokushin Chuuken Boukensha no Nichijou,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/oDl52WWNIaKCsuXAFNgMOgB8RQg7KI0YzylKK1FZ.jpg,oDl52WWNIaKCsuXAFNgMOgB8RQg7KI0YzylKK1FZ.jpg,Winter,2026,https://drive.google.com/file/d/1-iw1BUlGV7iAykhiQetewwbhTw4n9xC_/view?usp=drivesdk
Q.E.D.,Sou,https://v.animethemes.moe/ArneNoJikenbo-OP1.webm,ArneNoJikenbo-OP1.webm,Arne no Jikenbo,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/jIiE4w3JwfwkakZ4WdTklrJ3gD4h1LnUgiMedncf.jpg,jIiE4w3JwfwkakZ4WdTklrJ3gD4h1LnUgiMedncf.jpg,Winter,2026,https://drive.google.com/file/d/1dpqClmcEKoqkQYCzvBjTkxJn-5UWisSx/view?usp=drivesdk
Mahoutsukai no Nikki,Rosu,https://v.animethemes.moe/ChampignonNoMajo-OP1.webm,ChampignonNoMajo-OP1.webm,Champignon no Majo,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/LQqj5VpX5RnWNaureUuaqJc5XFA58EPYkSHpm2VC.jpg,LQqj5VpX5RnWNaureUuaqJc5XFA58EPYkSHpm2VC.jpg,Winter,2026,https://drive.google.com/file/d/1LfrxU0P6rZnalvAMT0OD7j4DjpUwKKBi/view?usp=drivesdk
AIZO,King Gnu,https://v.animethemes.moe/JujutsuKaisenS3-OP1.webm,JujutsuKaisenS3-OP1.webm,Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/a1piCTHptdINFembaXoPF19Yq8qqX1vAzHZsGZqw.jpg,a1piCTHptdINFembaXoPF19Yq8qqX1vAzHZsGZqw.jpg,Winter,2026,https://drive.google.com/file/d/1zJ3XEQv36AzegypId9zDHhZlbHHJUFuC/view?usp=drivesdk
Tsuki ni Mukatte Ute,Suisei Hoshimachi,https://v.animethemes.moe/MayonakaHeartTune-OP1.webm,MayonakaHeartTune-OP1.webm,Mayonaka Heart Tune,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/uzjcICikX80KvxcbFqAFOttTOJ6uMcStHagu5A2g.jpg,uzjcICikX80KvxcbFqAFOttTOJ6uMcStHagu5A2g.jpg,Winter,2026,https://drive.google.com/file/d/1Cm_jxnCNq5O9Rtma9OKimIyycZyKFZXV/view?usp=drivesdk
We Can Do!!,Kaori Ishihara,https://v.animethemes.moe/MaouNoMusumeWaYasashiSugiru-OP1.webm,MaouNoMusumeWaYasashiSugiru-OP1.webm,Maou no Musume wa Yasashi Sugiru!!,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/bB4dAB2Qs0xWzIFBoW3ViEKroI1UZc7bUEhcu3g3.jpg,bB4dAB2Qs0xWzIFBoW3ViEKroI1UZc7bUEhcu3g3.jpg,Winter,2026,https://drive.google.com/file/d/1jR8WnQ_BTYE_EPwwNr1su5SJ3Y93_GRe/view?usp=drivesdk
Lavish!!,Yoshino,https://v.animethemes.moe/YuuKawa-OP1.webm,YuuKawa-OP1.webm,"Yuusha Party ni Kawaii Ko ga Ita no de, Kokuhaku Shitemita.",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/ZgdyA0xvmG2zDsx5oKvp4tWpvSIEKnObnbN3FPPz.jpg,ZgdyA0xvmG2zDsx5oKvp4tWpvSIEKnObnbN3FPPz.jpg,Winter,2026,https://drive.google.com/file/d/1nueiqeJQnUO-4lEM7D_rKPQzyoodAH5O/view?usp=drivesdk
Okirakuzation,Rei Nakashima,https://v.animethemes.moe/OkirakuRyoushu-OP1.webm,OkirakuRyoushu-OP1.webm,Okiraku Ryoushu no Tanoshii Ryouchi Bouei,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/E7gAGMDGYDCgB70mug5vpZviB4XrRMwJ5qi2m5dP.jpg,E7gAGMDGYDCgB70mug5vpZviB4XrRMwJ5qi2m5dP.jpg,Winter,2026,https://drive.google.com/file/d/1Ag5Qd9l-EbtD0h8dhZEGbSVgqHR3O1BI/view?usp=drivesdk
¬Ersterbend,,https://v.animethemes.moe/ShibouYuugi-OP1.webm,ShibouYuugi-OP1.webm,Shibou Yuugi de Meshi wo Kuu.,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/DfViTXYbPfF90Main7m7sdA2IMyMcJJ5kUXaFQcr.jpg,DfViTXYbPfF90Main7m7sdA2IMyMcJJ5kUXaFQcr.jpg,Winter,2026,https://drive.google.com/file/d/1o9dzlD_V7yjfVkcp49Jk1f1RxWvDz2P_/view?usp=drivesdk
Gypso,Hikaru Makishima,https://v.animethemes.moe/OdayakaKizoku-OP1.webm,OdayakaKizoku-OP1.webm,Odayaka Kizoku no Kyuuka no Susume.,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/bxe59urVrmfqlgFUOCTP3vZ5BjqBgbsMuacaC5ro.jpg,bxe59urVrmfqlgFUOCTP3vZ5BjqBgbsMuacaC5ro.jpg,Winter,2026,https://drive.google.com/file/d/1-E1njcIE7mAZaMLRMBBwRMAbBzUlfGeY/view?usp=drivesdk
"Hikari yo, Boku ni.",Akari Kitou,https://v.animethemes.moe/MabotaiS2-OP1.webm,MabotaiS2-OP1.webm,Mato Seihei no Slave 2,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/KSbpycTeB80V9a3T5xSiE1mJPk49SWqNzbY3nSgU.png,KSbpycTeB80V9a3T5xSiE1mJPk49SWqNzbY3nSgU.png,Winter,2026,https://drive.google.com/file/d/19iaxWLPgT4MdPklFz8EHgdG8ls8UD3S0/view?usp=drivesdk
Liberator,PassCode,https://v.animethemes.moe/OmaGoto-OP1.webm,OmaGoto-OP1.webm,"""Omae Gotoki ga Maou ni Kateru to Omou na"" to Yuusha Party wo Tsuihou Sareta node, Outo de Kimama ni Kurashitai",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/vGGu1jwC6fokTmpAaM8o13hWiWtUBTUzV3NGiDi3.png,vGGu1jwC6fokTmpAaM8o13hWiWtUBTUzV3NGiDi3.png,Winter,2026,https://drive.google.com/file/d/1MUGYl9v5j7gfPIuLY3paViSU9MZB1N6v/view?usp=drivesdk
L to R,ME:I,https://v.animethemes.moe/KoishimaS2-OP1.webm,KoishimaS2-OP1.webm,"Douse, Koishite Shimaunda. Season 2",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/CSCVYmG1lVtKoOI5nYLyr2VzWDFk1grj8ZdLUqMb.jpg,CSCVYmG1lVtKoOI5nYLyr2VzWDFk1grj8ZdLUqMb.jpg,Winter,2026,https://drive.google.com/file/d/1o492qVd-NC3qU1-IpIaaRT9n-8JOFZDA/view?usp=drivesdk
Ignis,Takanori Nishikawa,https://v.animethemes.moe/EnenNoShouboutaiS3Part2-OP1.webm,EnenNoShouboutaiS3Part2-OP1.webm,Enen no Shouboutai: San no Shou Part 2,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/IOkWlROq24Xv0Ep5oRrpYIw1nifi5TM9GFbvCWjA.png,IOkWlROq24Xv0Ep5oRrpYIw1nifi5TM9GFbvCWjA.png,Winter,2026,https://drive.google.com/file/d/10USUU2VHznIi2_9BGvM8Vf5qWGcdw8VX/view?usp=drivesdk
PICARESQUE HERO,ano,https://v.animethemes.moe/TrigunStargaze-OP1.webm,TrigunStargaze-OP1.webm,Trigun Stargaze,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/NYepemJ9ncB7nndeIQv4XgiFDIqlbJEu1GhNz7vc.jpg,NYepemJ9ncB7nndeIQv4XgiFDIqlbJEu1GhNz7vc.jpg,Winter,2026,https://drive.google.com/file/d/1D9BjM_R7xf8QC250tgYW9VLJtvAx4wrm/view?usp=drivesdk
Haku,Atarayo,https://v.animethemes.moe/HellMode-OP1.webm,HellMode-OP1.webm,Hell Mode: Yarikomi Suki no Gamer wa Haisettei no Isekai de Musou Suru,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/Y6gGxLE4SeKt3OMxKTvzotwF29rvD7P7y8SVMfJB.jpg,Y6gGxLE4SeKt3OMxKTvzotwF29rvD7P7y8SVMfJB.jpg,Winter,2026,https://drive.google.com/file/d/13dUlebPyZz3h7zt09U-aqtmTHzelaEqO/view?usp=drivesdk
One In A Billion (Japanese Ver.),ENHYPEN,https://v.animethemes.moe/DarkMoonKuroNoTsuki-OP1.webm,DarkMoonKuroNoTsuki-OP1.webm,DARK MOON: Kuro no Tsuki - Tsuki no Saidan,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/U6RJ1Ig9bLf2MxYm0J4b66tXDONbattyuI6HKLSd.jpg,U6RJ1Ig9bLf2MxYm0J4b66tXDONbattyuI6HKLSd.jpg,Winter,2026,https://drive.google.com/file/d/12TD2u7swIUmX77bVscU1iwERP_eOv6m9/view?usp=drivesdk
Gliding Claw,"Sizuk, AYAME",https://v.animethemes.moe/DoraTama-OP1.webm,DoraTama-OP1.webm,Tensei Shitara Dragon no Tamago Datta,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/typ21soeXb8vcaJs4uWruG1BhxtvWBeEbiEJKfjI.jpg,typ21soeXb8vcaJs4uWruG1BhxtvWBeEbiEJKfjI.jpg,Winter,2026,https://drive.google.com/file/d/1adJLoRAFBmPh9vyg3LStcRa7KnJyiwy_/view?usp=drivesdk
Dead End,Haru Igarashi,https://v.animethemes.moe/DeadAccount-OP1.webm,DeadAccount-OP1.webm,Dead Account,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/o4fAl4kzFOt4g6gmdygfADdJUKuPtBePTNWoyHOW.jpg,o4fAl4kzFOt4g6gmdygfADdJUKuPtBePTNWoyHOW.jpg,Winter,2026,https://drive.google.com/file/d/11bkbf7u9zgvh6B23-LmHMftdByC_TOZC/view?usp=drivesdk
Ningen,Masayoshi Ooishi,https://v.animethemes.moe/JingaiKyoushitsu-OP1.webm,JingaiKyoushitsu-OP1.webm,Jingai Kyoushitsu no Ningengirai Kyoushi,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/vfu3vDGIxK1JQ7D1GTtC8g3XojNvNwaskmOKbnsj.jpg,vfu3vDGIxK1JQ7D1GTtC8g3XojNvNwaskmOKbnsj.jpg,Winter,2026,https://drive.google.com/file/d/1VVx4GKzy_5hiqcxByFUIPOu2nrsz9vIH/view?usp=drivesdk
GUN POWDER,TOOBOE,https://v.animethemes.moe/YuushaNoKuzu-OP1.webm,YuushaNoKuzu-OP1.webm,Yuusha no Kuzu,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/MDE6kgT5ULwwkzvmtmKt7XtBEwCHnbNy1ZuGPQVf.jpg,MDE6kgT5ULwwkzvmtmKt7XtBEwCHnbNy1ZuGPQVf.jpg,Winter,2026,https://drive.google.com/file/d/1boVNu_w7isw6MeeY3ueMzDUAYr-Y5jQ8/view?usp=drivesdk
Uruwashi,UNISON SQUARE GARDEN,https://v.animethemes.moe/UruwashiNoYoiNoTsuki-OP1.webm,UruwashiNoYoiNoTsuki-OP1.webm,Uruwashi no Yoi no Tsuki,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/W3IpuFc6mXPzfDQT2coKkn4O2ScMXnEgOlEzZ6xR.jpg,W3IpuFc6mXPzfDQT2coKkn4O2ScMXnEgOlEzZ6xR.jpg,Winter,2026,https://drive.google.com/file/d/12IzSGeqADmxWzx3FQM5xIlxA9t9oSaoF/view?usp=drivesdk
Megane wo Hazushite,Noa,https://v.animethemes.moe/SeihantaiNaKimiToBoku-OP1.webm,SeihantaiNaKimiToBoku-OP1.webm,Seihantai na Kimi to Boku,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/u0UrCA5vxC6wvn4XIKJdosznrbL3Oy2Fb41Oz7v0.jpg,u0UrCA5vxC6wvn4XIKJdosznrbL3Oy2Fb41Oz7v0.jpg,Winter,2026,https://drive.google.com/file/d/1Slk1ii0e9GFclSFQ2WRU_4TYi27DlM_L/view?usp=drivesdk
Maboroshi no Yukue,Isekaijoucho,https://v.animethemes.moe/KayaChanWaKowakunai-OP1.webm,KayaChanWaKowakunai-OP1.webm,Kaya-chan wa Kowakunai,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/tE5Qr9ty2sRWHNKPET47jvSjhlXljltaBmcNFn7K.jpg,tE5Qr9ty2sRWHNKPET47jvSjhlXljltaBmcNFn7K.jpg,Winter,2026,https://drive.google.com/file/d/1J_DMfPYU2HixbnbKQf7eyjW6bsmyUYtN/view?usp=drivesdk
Ai no Fanfare,"Ayahi Takagaki, Yu Shirota",https://v.animethemes.moe/Akudeki-OP1.webm,Akudeki-OP1.webm,Akuyaku Reijou wa Ringoku no Outaishi ni Dekiai Sareru,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/mpS1KZykPp44Njz4oMkFSgceNWMpP4rjArur4flc.jpg,mpS1KZykPp44Njz4oMkFSgceNWMpP4rjArur4flc.jpg,Winter,2026,https://drive.google.com/file/d/1PkLCIGCHRfR3nca1rs8Q11sKsC26mD4o/view?usp=drivesdk
Kasukana Hana,"Tatsuya Kitani, BABYMETAL",https://v.animethemes.moe/JigokurakuS2-OP1.webm,JigokurakuS2-OP1.webm,Jigokuraku 2nd Season,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/eeStC7k6dpj6t9pgp1Il6Z4wgrsufZyDxzA97fXO.jpg,eeStC7k6dpj6t9pgp1Il6Z4wgrsufZyDxzA97fXO.jpg,Winter,2026,https://drive.google.com/file/d/1_tqil8q3WY3eP-jlboPh8b_dWXK_hV6P/view?usp=drivesdk
Sunday Morning,ILLIT,https://v.animethemes.moe/HimesamaGoumonS2-OP1.webm,HimesamaGoumonS2-OP1.webm,"Hime-sama, ""Goumon"" no Jikan desu 2nd Season",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/ElelJEyTWz9xMmV9woZCQYnMWHi4qnUnYNHNTZiD.png,ElelJEyTWz9xMmV9woZCQYnMWHi4qnUnYNHNTZiD.png,Winter,2026,https://drive.google.com/file/d/1OSEahAePeRsUTVd8tR1IwkpAPET1DlIu/view?usp=drivesdk
B no Revenge,B-Komachi,https://v.animethemes.moe/OshiNoKoS3-OP1.webm,OshiNoKoS3-OP1.webm,[Oshi no Ko] 3rd Season,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/wZOyzv7DgxWCB0Urne8Dv3OrZWZXl9R6ld67sEmO.jpg,wZOyzv7DgxWCB0Urne8Dv3OrZWZXl9R6ld67sEmO.jpg,Winter,2026,https://drive.google.com/file/d/1Nz8ugEaccAJuOAGFcOUsg0hikTC5ZZv8/view?usp=drivesdk
TEST ME,CHANMINA,https://v.animethemes.moe/OshiNoKoS3-OP2.webm,OshiNoKoS3-OP2.webm,[Oshi no Ko] 3rd Season,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/wZOyzv7DgxWCB0Urne8Dv3OrZWZXl9R6ld67sEmO.jpg,wZOyzv7DgxWCB0Urne8Dv3OrZWZXl9R6ld67sEmO.jpg,Winter,2026,https://drive.google.com/file/d/1QUXAjyBV67Ze38g13fktqHSAjEehKYgo/view?usp=drivesdk
lulu.,Mrs. GREEN APPLE,https://v.animethemes.moe/SousouNoFrierenS2-OP1.webm,SousouNoFrierenS2-OP1.webm,Sousou no Frieren 2nd Season,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/vDOYFI3qLvk7gI9JabngReNEdFN2CTTdUTVe487B.jpg,vDOYFI3qLvk7gI9JabngReNEdFN2CTTdUTVe487B.jpg,Winter,2026,https://drive.google.com/file/d/1YN2WncUUmaUGq1y_2zdsf_La-Mr9IYbE/view?usp=drivesdk
Ding-dong,Mao Abe,https://v.animethemes.moe/ToumeiOtokoToNingenOnna-OP1.webm,ToumeiOtokoToNingenOnna-OP1.webm,Toumei Otoko to Ningen Onna: Sonouchi Fuufu ni Naru Futari,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/of38Jpgck0dBmyD04hbVDroc1pJCA0HDymH2G1qt.jpg,of38Jpgck0dBmyD04hbVDroc1pJCA0HDymH2G1qt.jpg,Winter,2026,https://drive.google.com/file/d/11sVziTF7_qOyQLuqS46UwYG8GlKemEy4/view?usp=drivesdk
Kill the Noise,SPYAIR,https://v.animethemes.moe/YuushakeiNiShosu-OP1.webm,YuushakeiNiShosu-OP1.webm,Yuusha Kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/e5GK9FIWb1dV8y2bnNdPI30fIDQYkUMLaTBGDStO.jpg,e5GK9FIWb1dV8y2bnNdPI30fIDQYkUMLaTBGDStO.jpg,Winter,2026,https://drive.google.com/file/d/1eMPL8iYvji8L9SNdlWGXIu2yUeAgWF_T/view?usp=drivesdk
Heart ni Hint! Meitantei Precure!,Ami Ishii,https://v.animethemes.moe/MeitanteiPrecure-OP1.webm,MeitanteiPrecure-OP1.webm,Meitantei Precure!,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/ikeZIlK5gaVdvHOEeVs4NqysKNAcDVDoZ9BOBwjV.jpg,ikeZIlK5gaVdvHOEeVs4NqysKNAcDVDoZ9BOBwjV.jpg,Winter,2026,
